Festival_name,Tithi,Nakshatra,month,day,weekday,adhik_maasa,calendar_type,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
National_Unity_Day,,,10,31,,,4,festival.png,National Unity Day (Rashtriya Ekta Diwas),தேசிய ஒற்றுமை நாள்,జాతీయ ఐక్యతా దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಏಕತಾ ದಿನ,राष्ट्रीय एकता दिवस,ദേശീയ ഐക്യ ദിനം
National_Voluntary_Blood_Donation_Day,,,10,1,,,4,festival.png,National Voluntary Blood Donation Day,தேசிய இரத்த தான தினம்,జాతీయ స్వచ్ఛంద రక్తదాన దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಸ್ವಯಂಪ್ರೇರಿತ ರಕ್ತದಾನ ದಿನ,राष्ट्रीय स्वैच्छिक रक्तदान दिवस,ദേശീയ രക്തദാന ദിനം
National_Youth_Day,,,1,12,,,4,festival.png,National Youth Day,தேசிய இளைஞர் தினம்,జాతీయ యువజన దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಯುವಜನ ದಿನ,राष्ट्रीय युवा दिवस,ദേശീയ യുവജന ദിനം
Nativity of Mary,,,9,8,,,4,festival.png,Nativity of Mary,மரியாளின் பிறந்தநாள்,మేరీ పుట్టినరోజు,ಮೇರಿಯ ಜನ್ಮದಿನ,मरियम का जन्मोत्सव,മാതാവിന്റെ ജനനപ്പെരുന്നാൾ
Navaratri Begins,1,,6,,,,0,navarathri.png,Navaratri Begins,நவராத்திரி ஆரம்பம்,నవరాత్రి ప్రారంభం,ನವರಾತ್ರಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,नवरात्रि प्रारंभ,നവരാത്രി ആരംഭിക്കുന്നു
Netaji_Bose_Jayanti,,,1,23,,,4,festival.png,Netaji Subhas Chandra Bose Jayanti / Desh Prem Divas,நேதாஜி சுபாஷ் சந்திர போஸ் ஜயந்தி / தேசப் பிரேம் தினம்,నేతాజీ సుభాష్ చంద్రబోస్ జయంతి / దేశ్ ప్రేమ్ దివస్,ನೇತಾಜಿ ಸುಭಾಷ್ ಚಂದ್ರ ಬೋಸ್ ಜಯಂತಿ / ದೇಶ್ ಪ್ರೇಮ್ ದಿನ,नेताजी सुभाष चंद्र बोस जयंती / देश प्रेम दिवस,നേതാജി സുഭാഷ് ചന്ദ്ര ബോസ് ജയന്തി / ദേശ് പ്രേം ദിനം
Nirjala Ekadashi,11,,3,,,,2,ekadashi.png,Nirjala Ekadashi,நிர்ஜல ஏகாதசி,నిర్జల ఏకాదశి,ನಿರ್ಜಲ ಏಕಾದಶಿ,निर्जला एकादशी,നിർജല ഏകാദശി
Onam,,22,5,,,,0,onam.png,Onam,ஓணம்,ఓనం,ಓಣಂ,ओणम,ഓണം
Padmini Vishuddha Ekadashi,11,,,,,1,2,ekadashi.png,Padmini Vishuddha Ekadashi,பத்மினி விசுத்த ஏகாதசி,పద్మిని విశుద్ధ ఏకాదశి,ಪದ್ಮಿನಿ ವಿಶುದ್ಧ ಏಕಾದಶಿ,पद्मिनी विशुद्धा एकादशी,പദ്മിനി വിശുദ്ധ ഏകാദശി
Panguni Utthiram,15,12,12,,,,0,festival.png,Panguni Utthiram,பங்குனி உத்திரம்,పంగుని ఉత్తిరం,ಪಂಗುಣಿ ಉತ್ತರಂ,पंगुनी उत्थिराम,പങ്കുനി ഉത്തിരം
Papavimochani Ekadashi,26,,1,,,,2,ekadashi.png,Papavimochani Ekadashi,பாபவிமோச்சன ஏகாதசி,పాపమోచని ఏకాదశి,ಪಾಪಮೋಚನಿ ಏಕಾದಶಿ,पापमोचनी एकादशी,പാപമോചനി ഏകാദശി
Parama Shuddha Ekadashi,26,,,,,1,2,ekadashi.png,Parama Shuddha Ekadashi,பரம சுத்த ஏகாதசி,పరమ శుద్ధ ఏకాదశి,ಪರಮ ಶುದ್ಧ ಏಕಾದಶಿ,परम शुद्धा एकादशी,പരമ ശുദ്ധ ഏകാദശി
Parashurama Jayanti,3,,2,,,,2,festival.png,Parashurama Jayanti,பரசுராம ஜெயந்தி,పరశురామ జయంతి,ಪರಶುರಾಮ ಜಯಂತಿ,परशुराम जयंती,പരശുരാമ ജയന്തി
Parsva Ekadashi,11,,6,,,,2,ekadashi.png,Parsva Ekadashi,பார்ஸ்வ ஏகாதசி,పార్శ్వ ఏకాదశి,ಪಾರ್ಶ್ವ ಏಕಾದಶಿ,पार्श्व एकादशी,പാർശ്വ ഏകാദശി
Parva Tithi,5,,,,,,2,festival.png,Parva Tithi,பர்வ திதி,ಪರ್ವ ತಿಥಿ,పర్వ తిథి,पर्व तिथि,പർവ്വ തിഥി
Parva Tithi,8,,,,,,2,festival.png,Parva Tithi,பர்வ திதி,పర్వ తిథి,ಪರ್ವ ತಿಥಿ,पर्व तिथि,പർവ്വ തിഥി
Parva Tithi,23,,,,,,2,festival.png,Parva Tithi,பர்வ திதி,పర్వ తిథి,ಪರ್ವ ತಿಥಿ,पर्व तिथि,പർവ്വ തിഥി
Parva Tithi,14,,,,,,2,festival.png,Parva Tithi,பர்வ திதி,పర్వ తిథి,ಪರ್ವ ತಿಥಿ,पर्व तिथि,പർവ്വ തിഥി
Parva Tithi,29,,,,,,2,festival.png,Parva Tithi,பர்வ திதி,పర్వ తిథి,ಪರ್ವ ತಿಥಿ,पर्व तिथि,പർവ്വ തിഥി
Pasankusa Ekadashi,11,,7,,,,2,ekadashi.png,Pasankusa Ekadashi,பசங்குச ஏகாதசி,పసంకుశ ఏకాదశి,ಪಸಂಕುಶ ಏಕಾದಶಿ,पाषाणकुशा एकादशी,പശാങ്കുശ ഏകാദശി
Pausha Purnima,15,,10,,,,2,festival.png,Pausha Purnima,பௌஷா பூர்ணிமா,పౌష పూర్ణిమ,ಪೌಷಾ ಪೂರ್ಣಿಮಾ,पौष पूर्णिमा,പൗഷ പൂർണിമ
Pausha Putrada Ekadashi,11,,10,,,,2,ekadashi.png,Pausha Putrada Ekadashi,பௌஷ புத்திரதா ஏகாதசி,పౌష పుత్రదా ఏకాదశి,ಪೌಷ ಪುತ್ರಾದ ಏಕಾದಶಿ,पौष पुत्रदा एकादशी,പൗഷ പുത്രാദ ഏകാദശി
Phalguni Purnima,15,,12,,,,2,festival.png,Phalguni Purnima,பால்குனி பூர்ணிமா,ఫాల్గుణి పూర్ణిమ,ಫಲ್ಗುಣಿ ಪೂರ್ಣಿಮಾ,फाल्गुनी पूर्णिमा,ഫാൽഗുനി പൂർണിമ
Pongal,,,10,1,,,0,pongal.png,Pongal,பொங்கல்,పొంగల్,ಪೊಂಗಲ್,पोंगल,പൊങ്കൽ
Poush Sankranti,,,10,29,,,1,festival.png,Poush Sankranti,பௌஷ் சங்கராந்தி,పౌష్ సంక్రాంతి,ಪೌಶ್ ಸಂಕ್ರಾಂತಿ,पौष संक्रांति,പുഷ് സംക്രാന്തി
Poush Sankranti,,,10,30,,,1,festival.png,Poush Sankranti,பௌஷ் சங்கராந்தி,పౌష్ సంక్రాంతి,ಪೌಶ್ ಸಂಕ್ರಾಂತಿ,पौष संक्रांति,പുഷ് സംക്രാന്തി
Prabodhini/Devuthana Ekadashi,11,,8,,,,2,ekadashi.png,Prabodhini/Devuthana Ekadashi,பிரபோதினி ஏகாதசி,ప్రబోధిని ఏకాదశి,ಪ್ರಬೋಧಿನಿ ಏಕಾದಶಿ,प्रबोधिनी एकादशी,പ്രബോധിനി ഏകാദശി
Pradosham,13,,,,,,0,pradosham.png,Pradosham,பிரதோஷம்,ప్రదోషం,ಪ್ರದೋಷ,प्रदोष,പ്രദോഷം
Pradosham,28,,,,,,0,pradosham.png,Pradosham,பிரதோஷம்,ప్రదోషం,ಪ್ರದೋಷ,प्रदोष,പ്രദോഷം
Purvedyu Srartha tithi,22,,6,,,,0,srartha.png,Purvedyu Sratha tithi Sratha tithi,பூர்வேத்யு ஸ்ரார்த்த திதி,పూర్వేద్యు స్రార్థ తిథి,ಪೂರ್ವೇದ್ಯು ಶ್ರಾರ್ಥ ತಿಥಿ,पूर्वेद्यु श्रार्थ तिथि,പൂർവേദ്യു സ്രാർത്ത തിഥി
Purvedyu Srartha tithi,22,,9,,,,0,srartha.png,Purvedyu Sratha tithi Sratha tithi,பூர்வேத்யு ஸ்ரார்த்த திதி,పూర్వేద్యు స్రార్థ తిథి,ಪೂರ್ವೇದ್ಯು ಶ್ರಾರ್ಥ ತಿಥಿ,पूर्वेद्यु श्रार्थ तिथि,പൂർവേദ്യു സ്രാർത്ത തിഥി
Purvedyu Srartha tithi,22,,10,,,,0,srartha.png,Purvedyu Sratha tithi Sratha tithi,பூர்வேத்யு ஸ்ரார்த்த திதி,పూర్వేద్యు స్రార్థ తిథి,ಪೂರ್ವೇದ್ಯು ಶ್ರಾರ್ಥ ತಿಥಿ,पूर्वेद्यु श्रार्थ तिथि,പൂർവേദ്യു സ്രാർത്ത തിഥി
Purvedyu Srartha tithi,22,,11,,,,0,srartha.png,Purvedyu Sratha tithi Sratha tithi,பூர்வேத்யு ஸ்ரார்த்த திதி,పూర్వేద్యు స్రార్థ తిథి,ಪೂರ್ವೇದ್ಯು ಶ್ರಾರ್ಥ ತಿಥಿ,पूर्वेद्यौ श्रार्थ तिथि,പൂർവേദ്യു സ്രാർത്ത തിഥി
Purvedyu Srartha tithi,22,,12,,,,0,srartha.png,Purvedyu Sratha tithi Sratha tithi,பூர்வேத்யு ஸ்ரார்த்த திதி,పూర్వేద్యు స్రార్థ తిథి,ಪೂರ್ವೇದ್ಯು ಶ್ರಾರ್ಥ ತಿಥಿ,पूर्वेद्यु श्रार्थ तिथि,പൂർവേദ്യു സ്രാർത്ത തിഥി
Quit_India_Movement_Day,,,8,9,,,4,festival.png,Quit India Movement Day,இந்தியாவை விட்டு வெளியேறு இயக்க நாள்,క్విట్ ఇండియా ఉద్యమ దినోత్సవం,ಕ್ವಿಟ್ ಇಂಡಿಯಾ ಚಳುವಳಿ ದಿನ,भारत छोड़ो आंदोलन दिवस,ക്വിറ്റ് ഇന്ത്യ പ്രസ്ഥാനം ദിനം
Raivata Manvadi Srartha tithi,10,,4,,,,0,srartha.png,Raivata Manvadi Sratha tithi Sratha tithi,ரைவத மன்வாதி ஸ்ரார்த்த திதி,రైవత మన్వాది స్రార్థ తిథి,ರೈವತ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,रैवता मन्वादि श्रार्थ तिथि,രൈവത മാൻവാദി സ്രാർത്ത തിഥി
Raksha Bandhan,15,,5,,,,0,raksha_bandhan.png,Raksha Bandhan,ரக்ஷா பந்தன்,రక్షా బంధన్,ರಕ್ಷಾ ಬಂಧನ,रक्षाबंधन,രക്ഷാ ബന്ധൻ
Rama Navami,9,,1,,,,1,rama_navami.png,Rama Navami,ராம நவமி,రామ నవమి,ರಾಮ ನವಮಿ,रामनवमी,രാമ നവമി
Ramaa Ekadashi,26,,8,,,,2,ekadashi.png,Ramaa Ekadashi,ரமா ஏகாதசி,రామ ఏకాదశి,ರಾಮ ಏಕಾದಶಿ,रमाएकादशी,രാമ ഏകാദശി
Ramadan Start,,,9,1,,,3,ramzaan.png,Ramadan Start,ரமலான் ஆரம்பம்,రంజాన్ ప్రారంభం,ರಂಜಾನ್ ಆರಂಭ,रमजान शुरू,റമദാൻ ആരംഭം
Ramanuja Jayanthi,,6,1,,,,2,festival.png,Ramanuja Jayanthi,ராமானுஜ ஜெயந்தி,రామానుజ జయంతి,ರಾಮಾನುಜ ಜಯಂತಿ,रामानुज जयंती,രാമാനുജ ജയന്തി
Ranga Panchami,20,,1,,,,0,festival.png,Ranga Panchami,ரங்க பஞ்சமி,రంగ పంచమి,ರಂಗ ಪಂಚಮಿ,रंग पंचमी,രംഗപഞ്ചമി
Ratha Saptami,7,,11,,,,2,ratha_sapthami.png,Ratha Saptami,ரத சப்தமி,రథ సప్తమి,ರಥ ಸಪ್ತಮಿ,रथ सप्तमी,രഥ സപ്തമി
Republic_Day,,,1,26,,,4,festival.png,Republic Day,குடியரசு நாள்,గణతంత్ర దినోత్సవం,ಗಣರಾಜ್ಯೋತ್ಸವ,गणतंत्र दिवस,ഗണതന്ത്ര ദിനം
Rishaba Sankranthi,,,2,1,,,0,rishabham.jpg,Rishaba Sankranthi,ரிஷப சங்கராந்தி,రిషబ సంక్రాంతి,ರಿಷಬ ಸಂಕ್ರಾಂತಿ,ऋषभ संक्रांति,ഋഷബ സംക്രാന്തി
Rudra Savarni Manvadi Srartha tithi,3,,6,,,,0,srartha.png,Rudra Savarni Manvadi Sratha tithi Sratha tithi,ருத்ர சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,రుద్ర సావర్ణి మన్వాది స్రార్థ తిథి,ರುದ್ರ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,रूद्र सावर्णि मन्वादि श्रार्था तिथि,രുദ്ര സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Sama Veda Upakarma,,13,5,,,,0,upakarma.png,Sama Veda Upakarma,சாம வேத உபாகர்மா,సామవేద ఉపకర్మ,ಸಾಮವೇದ ಉಪಕರ್ಮ,सामवेद उपाकर्म,സാമവേദ ഉപാകർമ്മ
Saphala Ekadashi,26,,10,,,,2,ekadashi.png,Saphala Ekadashi,சபல ஏகாதசி,సఫల ఏకాదశి,ಸಫಲ ಏಕಾದಶಿ,सफला एकादशी,സഫല ഏകാദശി
Saraswati Puja,5,,10,,,,0,sarasvathi.png,Saraswati Puja,சரஸ்வதி பூஜை,సరస్వతీ పూజ,ಸರಸ್ವತಿ ಪೂಜೆ,सरस्वती पूजा,സരസ്വതി പൂജ
Sathya Yuga Srartha tithi,9,,8,,,,0,srartha.png,Sathya Yuga Sratha tithi Sratha tithi,சத்ய யுக ஸ்ரார்த்த திதி,సత్యయుగ స్రార్థ తిథి,ಸತ್ಯಯುಗ ಶ್ರಾರ್ಥ ತಿಥಿ,सत्ययुग स्रार्थ तिथि,സത്യയുഗ സ്രാർത്ത തിഥി
Savarni Manvadi Srartha tithi,15,,12,,,,0,srartha.png,Savarni Manvadi Sratha tithi Sratha tithi,சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,సావర్ణి మన్వాది స్రార్థ తిథి,ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,सावर्णि मन्वादि श्रार्थ तिथि,സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Savirtri Vrata,15,,3,,,,2,festival.png,Savirtri Vrata,சாவித்ரி விரதம்,సావిర్త్రీ వ్రతం,ಸಾವಿರ್ತ್ರಿ ವ್ರತ,सविर्त्रि व्रत,സാവിത്രി വ്രതം
Shab-e-Barat,,,8,15,,,3,festival.png,Shab-e-Barat,ஷப்-இ-பராத்,షబ్-ఎ-బరాత్,ಶಬ್-ಎ-ಬರಾತ್,शब-ए-बारात,ശബ്ബെ ബറാത്ത്
Shakambari Purnima,15,,10,,,,2,festival.png,Shakambari Purnima,ஷாகாம்பரி பூர்ணிமா,శాకంబరీ పూర్ణిమ,ಶಾಕಾಂಬರಿ ಪೂರ್ಣಿಮಾ,शाकम्भरी पूर्णिमा,ശാകംബരി പൂർണിമ
Shani Jayanthi,30,,2,,,,2,festival.png,Shani Jayanthi,சனி ஜெயந்தி,శని జయంతి,ಶನಿ ಜಯಂತಿ,शनि जयंती,ഷാനി ജയന്തി
Sharad Purnima,15,,7,,,,2,festival.png,Sharad/Ashvina Purnima,ஷரத் பூர்ணிமா,శరద్ పూర్ణిమ,ಶರದ್ ಪೂರ್ಣಿಮಾ,शरद पूर्णिमा,ശരദ് പൂർണിമ
Sharannavaratri,1,,6,,,,0,festival.png,Sharannavaratri,சரன்னவராத்திரி,శరన్నవరాత్రి,ಶರನ್ನವರಾತ್ರಿ,शरणनवरात्रि,ശരന്നവരാത്രി
Shattila Ekadashi,26,,11,,,,2,ekadashi.png,Shattila Ekadashi,ஷட்டிலா ஏகாதசி,షట్టిల ఏకాదశి,ಷಟ್ಟಿಲ ಏಕಾದಶಿ,षटतिला एकादशी,ഷട്ടില ഏകാദശി
Sheetala Ashtami,23,,1,,,,2,sheethala_ashtami,Sheetala Ashtami,ஷீதல அஷ்டமி,శీతల అష్టమి,ಶೀತಲ ಅಷ್ಟಮಿ,शीतल अष्टमी,ശീതള അഷ്ടമി
Shoonya Tithi,8,,1,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,12,,2,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,13,,3,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,6,,4,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,2,,5,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,1,,6,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,10,,7,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,14,,8,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,7,,9,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,4,,10,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,5,,11,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,3,,12,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,9,,1,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,27,,2,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,29,,3,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,7,,4,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,3,,5,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,2,,6,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,11,,7,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,5,,8,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,8,,9,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,5,,10,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,22,,11,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,19,,12,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,23,,1,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,17,,5,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,16,,6,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,25,,7,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,22,,9,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,19,,10,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,24,,1,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,18,,5,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,17,,6,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,26,,7,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,23,,9,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shoonya Tithi,20,,10,,,,2,festival.png,Shoonya Tithi,சூனிய திதி,శూన్య తిథి,ಶೂನ್ಯ ತಿಥಿ,शून्य तिथि,ശൂന്യ തിഥി
Shravana Purnima,15,,5,,,,2,festival.png,Shravana Purnima,ஷ்ரவண பூர்ணிமா,శ్రావణ పూర్ణిమ,ಶ್ರಾವಣ ಪೂರ್ಣಿಮೆ,श्रावण पूर्णिमा,ശ്രാവണ പൂർണിമ
Shravana Putrada Ekadashi,11,,5,,,,2,ekadashi.png,Shravana Putrada Ekadashi,ஷ்ரவண புத்திரதா ஏகாதசி,శ్రావణ పుత్రద ఏకాదశి,ಶ್ರವಣ ಪುತ್ರ ಏಕಾದಶಿ,श्रावण पुत्रदा एकादशी,ശ്രാവണ പുത്രാദ ഏകാദശി
Simha  Sankranthi,,,5,1,,,0,simmam.jpg,Simha  Sankranthi,சிம்ம சங்கராந்தி,సింహ సంక్రాంతి,ಸಿಂಹ ಸಂಕ್ರಾಂತಿ,सिंह संक्रांति,സിംഹ സംക്രാന്തി
Sita Navami,9,,2,,,,1,festival.png,Sita Navami,சீதா நவமி,సీతా నవమి,ಸೀತಾ ನವಮಿ,सीता नवमी,സീതാ നവമി
Skanda Sashti,6,,7,,,,0,murugan.png,Skanda Sashti,ஸ்கந்த சஷ்டி / சூர சம்ஹாரம்,స్కంద షష్ఠి / శూర సంహారం,ಸ್ಕಂದ ಷಷ್ಠಿ / ಸೂರ ಸಂಹಾರಂ,स्कंद षष्ठी / सूरा संहारम,സ്കന്ദ ഷഷ്ഠി / ശൂര സംഹാരം
Sompad Tithi,2,,2,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,10,,3,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,11,,9,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,4,,10,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,19,,10,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,12,,10,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
Sompad Tithi,27,,10,,,,2,festival.png,Sompad Tithi,சம்பத் திதி,సంపత్ తిథి,ಸೋಂಪದ್ ತಿಥಿ,संपत तिथि,സോമ്പദ് തിഥി
St. Francis Xavier,,,12,3,,,4,festival.png,St. Francis Xavier Feast,புனித பிரான்சிஸ் சவேரியார் பெருவிழா,సెయింట్ ఫ్రాన్సిస్ జేవియర్ పండుగ,ಸೇಂಟ್ ಫ್ರಾన్ಸಿಸ್ ಕ್ಸೇವಿಯர் ಹಬ್ಬ,सेंट फ्रांसिस जेवियर पर्व,വിശുദ്ധ ഫ്രാൻസിസ് സേവ്യറുടെ തിരുനാൾ
St. Joseph's Feast,,,3,19,,,4,festival.png,St. Joseph's Feast,புனித சூசையப்பர் பெருவிழா,సెయింట్ జోసెఫ్ పండుగ,ಸೇಂಟ್ ಜೋಸೆಫ್ ಹಬ್ಬ,सेंट जोसेफ पर्व,വിശുദ്ധ യൗസേപ്പിതാവിന്റെ തിരുനാൾ
St. Thomas Day,,,7,3,,,4,festival.png,St. Thomas Day,புனித தோமையார் திருநாள்,సెయింట్ థామస్ డే,ಸೇಂಟ್ థామస్ ಡೇ,सेंट थॉमस डे,സെന്റ് തോമస్ ദിനം
Swarochisha Manvadi Srartha tithi,15,,1,,,,0,srartha.png,Swarochisha Manvadi Sratha tithi Sratha tithi,ஸ்வரோசிஷா மன்வாதி ஸ்ரார்த்த திதி,స్వారోచిష మన్వాది స్రార్థ తిథి,ಸ್ವಾರೋಚಿಷಾ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,स्वारोचिष मन्वादि श्रार्थ तिथि,സ്വരോചിഷാ മൻവാദി സ്രാർത്ത തിഥി
